// DXCC prefix data. Incomplete,but a starting point.
// Derived from https://github.com/k0swe/dxcc-json
// Thanks,K0SWE. Then big-cty.dat from AD1C used to
// augment the prefixes
//
302,^S0,Western Sahara
303,^(AX9W|AX9Z|VI9W|VI9Z|VK9W|VK9Z|VZ9W),Willis Island
304,^A9,Bahrain
305,^S[2-3],Bangladesh
306,^A5,Bhutan
307,^(VQ1|5H1),Zanzibar (Deleted)
308,^T[IE],Costa Rica
309,^X[YZ],Myanmar
312,^XU,Cambodia
315,^4[PQRS],Sri Lanka
318,^(3[H-U]|B[0-9]|B[ADG-JLTYZ]),China
321,^(VR|VS),Hong Kong
324,^(8[T-Y]|A[T-W]|V[U-W]),India
327,^(7[A-I]|P[K-O]|Y[B-H]|8[A-I]),Indonesia
330,^(9[BCD]|E[PQ]),Iran
333,^(HN[0-9]|YI),Iraq
336,^4[XZ],Israel
339,^(J[A-S]|7[J-N]|8[J-N]),Japan
342,^JY,Jordan
344,^P[5-9],DPRK (North Korea)
345,^V8,Brunei
348,^9K,Kuwait
354,^OD,Lebanon
363,^J[T-V],Mongolia
369,^9N,Nepal
370,^A4,Oman
372,^(6[P-S]|A[P-S]),Pakistan
375,^(D[U-Z]|4[D-I]),Philippines
376,^A7,Qatar
378,^(HZ|7Z|8Z),Saudi Arabia
379,^S7,Seychelles Islands
381,^(9V|S6),Singapore
382,^J2,Djibouti
384,^(6C|YK),Syria
386,^B[M-QU-X],Taiwan
387,^(HS|E2),Thailand
390,^(T[A-C]|YM),Turkey
391,^A6,United Arab Emirates
400,^7[RT-Y],Algeria
401,^D[23],Angola
402,^(8O|A2),Botswana
404,^9U,Burundi
406,^TJ,Cameroon
408,^TL,Central African Republic
409,^D4,Cape Verde
410,^TT,Chad
411,^D6,Comoros
412,^TN[0-9],Republic of the Congo
414,^9[O-T],Democratic Republic of the Congo
416,^TY,Benin
420,^TR,Gabon
422,^C5,The Gambia
424,^9G,Ghana
428,^TU[0-9],Cote d'Ivoire
430,^5[YZ],Kenya
432,^7P,Lesotho
434,^(5L|5M|6Z|A8|D5|EL),Liberia
436,^5A,Libya
438,^(5R|5S|6X),Madagascar
440,^7Q,Malawi
442,^TZ,Mali
444,^5T,Mauritania
446,^(CN|5[C-G]),Morocco
450,^5[NO],Nigeria
452,^Z2,Zimbabwe
453,^(FR|TO),Reunion Island
454,^9X,Rwanda
456,^6[VW],Senegal
458,^9L,Sierra Leone
460,^3D2,Rotuma
462,^(H5|S4|S8|V9|Z[R-U]),Republic of South Africa
464,^V5,Namibia
466,^(6T|6U|ST),Sudan
468,^3DA,Kingdom of Eswatini
470,^5[HI],Tanzania
474,^(3V|TS),Tunisia
478,^(6A|6B|SS|SU),Egypt
480,^XT,Burkina Faso
482,^9[IJ],Zambia
483,^5V,Togo
488,^ZS9,Walvis Bay (Deleted)
489,^3D2,Conway Reef
490,^T33,Banaba Island
492,^7O,Yemen
493,^ZS[01],Penguin Islands (Deleted)
497,^9A,Croatia
499,^S5,Slovenia
501,^(E7|T9),Bosnia-Herzegovina
502,^Z3,North Macedonia
503,^O[KL],Czech Republic
504,^OM,Slovak Republic
505,^B[M-QU-X]9P,Pratas Island
506,^BS7,Scarborough Reef
507,^H40,Temotu Province
508,^FO,Austral Islands
